Bob,Mass,Peak 1,Peak 2,Peak 3
Smooth,23.42,8,3,1
Plasticine + 2 tiny,35.38,8,3.3,1.2
Plasticine + 1 mid,52.48,8,5.5,2.5
Brass,69.72,8,6,3
Heaviest,93.47,8,6.5,4
