Bob,Mass,Peak 1,Peak 2,Peak 3
A,52.48,2.8,1.7,1.1
B,60.94,2.9,1.8,1.2
C,69.72,3.2,1.9,1.2
D,86.51,3.4,2.2,1.2
E,93.47,3.4,2.3,1.5
F,113.27,3.6,2.5,1.7
