Bob,Mass,Peak 1,Peak 2,Peak 3
A,52.48,2.9,1.8,1.0
B,60.94,3.0,1.9,1.1
C,69.72,3.1,2.0,1.2
D,86.51,3.3,2.1,1.4
E,93.47,3.3,2.2,1.5
F,113.27,3.5,2.4,1.4
